alpha,Camadas,Decaimento,lr,Momentum,Acc Validação,Acc Treino
0.0001,"(100, 100)",constant,0.001,1,1,0.975
0.0001,"(100, 100)",constant,0.01,0.9,1,0.975
0.0001,"(100, 100)",adaptive,0.01,0.9,1,0.975
0.0001,"(100, 75)",constant,0.005,0.9,1,0.95
0.0001,"(100, 75)",constant,0.01,0.9,1,0.966666666666667
0.0001,"(100, 50)",constant,0.001,1,1,0.958333333333333
0.0001,"(100, 50)",constant,0.01,0.9,1,0.966666666666667
0.0001,"(100, 50)",adaptive,0.01,0.9,1,0.966666666666667
0.0001,"(100, 25)",constant,0.01,0.9,1,0.966666666666667
0.0001,"(100, 25)",adaptive,0.005,1,1,0.95
