lr,sigma,tau,tau_2,quantization_error,topographical_error,quantization_error_std,topographical_error_std
0.5,5,20,40,0.109349372760789,0.008,0.006724491389599,0.011313708498985
0.5,1,40,40,0.110090119563048,0.021333333333333,0.003961151981354,0.019955506062794
0.5,5,10,40,0.112929177580415,0.002666666666667,0.004254762541269,0.003771236166328
0.5,1,20,40,0.117523890461834,0.024,0.00326315314978,0.017281975195754
0.5,10,10,40,0.119367445254355,0.013333333333333,0.007352056427117,0.018856180831641
0.5,1,20,20,0.120068220443594,0.029333333333333,0.001732861885578,0.024729649321322
0.5,5,10,20,0.12215380372993,0.013333333333333,0.005474810065582,0.009977753031397
0.5,1,10,40,0.124432621170172,0.024,0.007194454912997,0.017281975195754
0.5,10,20,40,0.125864289053479,0.008,0.00561102685907,0.006531972647422
0.5,10,10,20,0.13065631064631,0.005333333333333,0.004007567489259,0.003771236166328
